Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
5/15/1990,354.2799988,355.0899963,352.8399963,354.75,165730000
5/16/1990,354,354.6799927,351.9500122,354.269989,159810000
5/17/1990,354.4700012,356.9200134,354,354,164770000
5/18/1990,354.6400146,354.6400146,352.519989,354.4700012,162520000
5/21/1990,358,359.0700073,353.7799988,354.6400146,166280000
5/22/1990,358.4299927,360.5,356.0899963,358,203350000
5/23/1990,359.2900085,359.2900085,356.9899902,358.4299927,172330000
5/24/1990,358.4100037,359.5599976,357.8699951,359.2900085,155140000
5/25/1990,354.5799866,358.4100037,354.3200073,358.4100037,120250000
5/29/1990,360.6499939,360.6499939,354.5499878,354.5799866,137410000
5/30/1990,360.8599854,362.2600098,360,360.6499939,199540000
5/31/1990,361.230011,361.8399963,360.230011,360.8599854,165690000
6/1/1990,363.1600037,363.519989,361.2099915,361.2600098,187860000
6/4/1990,367.3999939,367.8500061,362.4299927,363.1600037,175520000
6/5/1990,366.6400146,368.7799988,365.4899902,367.3999939,199720000
6/6/1990,364.9599915,366.6400146,364.4200134,366.6400146,164030000
6/7/1990,363.1499939,365.9200134,361.6000061,365.9200134,160360000
6/8/1990,358.7099915,363.4899902,357.6799927,363.1499939,142600000
6/11/1990,361.6300049,361.6300049,357.7000122,358.7099915,119550000
6/12/1990,366.25,367.269989,361.1499939,361.6300049,157100000
6/13/1990,364.8999939,367.0899963,364.5100098,366.25,158910000
6/14/1990,362.8999939,364.8999939,361.6400146,364.8999939,135770000
6/15/1990,362.9100037,363.1400146,360.7099915,362.8900146,205130000
6/18/1990,356.8800049,362.9100037,356.8800049,362.9100037,133470000
6/19/1990,358.4700012,358.8999939,356.1799927,356.8800049,134930000
6/20/1990,359.1000061,359.9100037,357,358.4700012,137420000
6/21/1990,360.4700012,360.8800049,357.6300049,359.1000061,138570000
6/22/1990,355.4299927,363.2000122,355.3099976,360.519989,172570000
6/25/1990,352.3099976,356.4100037,351.9100037,355.4200134,133100000
6/26/1990,352.0599976,356.0899963,351.8500061,352.3200073,141420000
6/27/1990,355.1400146,355.8900146,351.230011,352.0599976,146620000
6/28/1990,357.6300049,357.6300049,355.1600037,355.1600037,136120000
6/29/1990,358.019989,359.0899963,357.2999878,357.6400146,145510000
7/2/1990,359.5400085,359.5799866,357.5400085,358.019989,130200000
7/3/1990,360.1600037,360.730011,359.4400024,359.5400085,130050000
7/5/1990,355.6799927,360.1600037,354.8599854,360.1600037,128320000
7/6/1990,358.4200134,359.019989,354.6400146,355.6900024,111730000
7/9/1990,359.519989,360.0499878,358.1099854,358.4200134,119390000
7/10/1990,356.4899902,359.7399902,356.4100037,359.519989,147630000
7/11/1990,361.230011,361.230011,356.4899902,356.4899902,162220000
7/12/1990,365.4400024,365.4599915,360.5700073,361.230011,213180000
7/13/1990,367.3099976,369.6799927,365.4500122,365.4500122,215600000
7/16/1990,368.9500122,369.7799988,367.3099976,367.3099976,149430000
7/17/1990,367.519989,369.3999939,364.9899902,368.9500122,176790000
7/18/1990,364.2200012,367.519989,362.9500122,367.519989,168760000
7/19/1990,365.3200073,365.3200073,361.2900085,364.2200012,161990000
7/20/1990,361.6099854,366.6400146,361.5799866,365.3200073,177810000
7/23/1990,355.3099976,361.6099854,350.0899963,361.6099854,209030000
7/24/1990,355.7900085,356.0899963,351.4599915,355.3099976,181920000
7/25/1990,357.0899963,357.519989,354.7999878,355.7900085,163530000
7/26/1990,355.9100037,357.4700012,353.9500122,357.0899963,155040000
7/27/1990,353.4400024,355.9400024,352.1400146,355.8999939,149070000
7/30/1990,355.5499878,355.5499878,351.1499939,353.4400024,146470000
7/31/1990,356.1499939,357.5400085,353.9100037,355.5499878,175380000
8/1/1990,355.519989,357.3500061,353.8200073,356.1499939,178260000
8/2/1990,351.480011,355.519989,349.730011,355.519989,253090000
8/3/1990,344.8599854,351.480011,338.2000122,351.480011,295880000
8/6/1990,334.4299927,344.8599854,333.269989,344.8599854,240400000
8/7/1990,334.8299866,338.6300049,332.2200012,334.4299927,231580000
8/8/1990,338.3500061,339.2099915,334.8299866,334.8299866,190400000
8/9/1990,339.9400024,340.5599976,337.5599976,338.3500061,155810000
