objetivo,modelo,mae,mse,rmse,r2,tipo,hiperparametro
Open,SimpleRNN,380.8722229003906,230713.546875,480.32650028392146,0.7261040210723877,Red Neuronal,default
Open,SimpleRNN,353.1047668457031,198964.703125,446.054596574231,0.7637952566146851,Red Neuronal,ajustada1
Open,SimpleRNN,115.45462036132812,22697.728515625,150.6576533589482,0.9730539321899414,Red Neuronal,ajustada2
Open,LSTM,346.39208984375,226468.046875,475.8865903500539,0.73114413022995,Red Neuronal,default
Open,LSTM,412.0853576660156,285175.6875,534.018433670599,0.6614482402801514,Red Neuronal,ajustada1
Open,LSTM,193.42242431640625,59061.12890625,243.02495531580703,0.9298844337463379,Red Neuronal,ajustada2
Open,GRU,455.57080078125,404362.0625,635.8946945053088,0.5199538469314575,Red Neuronal,default
Open,GRU,278.4070129394531,117057.3984375,342.1365201750611,0.8610330820083618,Red Neuronal,ajustada1
Open,GRU,236.01893615722656,78558.453125,280.28280918565093,0.9067378044128418,Red Neuronal,ajustada2
Open,BiLSTM,360.17303466796875,239878.703125,489.77413480603485,0.7152234315872192,Red Neuronal,default
Open,BiLSTM,81.47154235839844,11339.2490234375,106.4859099760973,0.9865384101867676,Red Neuronal,ajustada1
Open,BiLSTM,56.77006912231445,5579.0126953125,74.6927887771805,0.9933767914772034,Red Neuronal,ajustada2
Open,CNN+LSTM,451.56805419921875,283161.34375,532.1290668155613,0.66383957862854,Red Neuronal,default
Open,CNN+LSTM,430.1405944824219,296383.0,544.4106905636589,0.6481432914733887,Red Neuronal,ajustada1
Open,CNN+LSTM,150.95504760742188,33123.62890625,181.99898050882044,0.9606766700744629,Red Neuronal,ajustada2
High,ANN,545.5009155273438,426224.375,652.8586179258109,0.4965980052947998,Red Neuronal,default
High,ANN,167.71853637695312,41855.4453125,204.58603401136648,0.9505656957626343,Red Neuronal,ajustada1
High,ANN,577.930908203125,464025.5625,681.1942178997118,0.4519520401954651,Red Neuronal,ajustada2
High,SimpleRNN,350.10137939453125,203480.09375,451.0876785614965,0.7596752047538757,Red Neuronal,default
High,SimpleRNN,291.2005615234375,146737.328125,383.0630863513215,0.826692521572113,Red Neuronal,ajustada1
High,SimpleRNN,148.85202026367188,39097.59375,197.73111477458474,0.953822910785675,Red Neuronal,ajustada2
High,LSTM,399.3524475097656,277766.0,527.0351031952237,0.6719381809234619,Red Neuronal,default
High,LSTM,431.28143310546875,298884.34375,546.7031587159526,0.6469958424568176,Red Neuronal,ajustada1
High,LSTM,94.25831604003906,18304.189453125,135.29297636287333,0.9783813953399658,Red Neuronal,ajustada2
High,GRU,64.12074279785156,9129.181640625,95.54675107310034,0.9892177581787109,Red Neuronal,default
High,GRU,369.52325439453125,222684.28125,471.89435390773644,0.736993670463562,Red Neuronal,ajustada1
High,GRU,267.172607421875,96883.3046875,311.26083063485515,0.8855737447738647,Red Neuronal,ajustada2
High,BiLSTM,401.5604553222656,289281.53125,537.8489855433401,0.6583374738693237,Red Neuronal,default
High,BiLSTM,158.9783935546875,40456.7265625,201.1385755207091,0.9522176384925842,Red Neuronal,ajustada1
High,BiLSTM,74.67655944824219,9600.73828125,97.9833571646226,0.9886608123779297,Red Neuronal,ajustada2
High,CNN+LSTM,137.4328155517578,32545.572265625,180.40391421924582,0.9615613222122192,Red Neuronal,default
High,CNN+LSTM,353.55859375,190384.1875,436.33036509048964,0.7751424312591553,Red Neuronal,ajustada1
High,CNN+LSTM,147.77227783203125,32565.71484375,180.45973191753887,0.9615375399589539,Red Neuronal,ajustada2
Low,ANN,317.4963684082031,133708.09375,365.66117342425076,0.8404998183250427,Red Neuronal,default
Low,ANN,313.80316162109375,137940.453125,371.4033563728255,0.8354510068893433,Red Neuronal,ajustada1
Low,ANN,294.63555908203125,132333.015625,363.7760514726059,0.8421400785446167,Red Neuronal,ajustada2
Low,SimpleRNN,321.5461730957031,160974.53125,401.21631478542844,0.8079736828804016,Red Neuronal,default
Low,SimpleRNN,164.91090393066406,50022.12109375,223.65625654953183,0.9403286576271057,Red Neuronal,ajustada1
Low,SimpleRNN,187.77554321289062,63554.38671875,252.0999538253627,0.9241860508918762,Red Neuronal,ajustada2
Low,LSTM,477.9593505859375,395054.09375,628.5332877024096,0.5287405252456665,Red Neuronal,default
Low,LSTM,305.06060791015625,174513.78125,417.7484664843188,0.7918227314949036,Red Neuronal,ajustada1
Low,LSTM,198.2398223876953,75830.109375,275.37267361704573,0.9095423817634583,Red Neuronal,ajustada2
Low,GRU,243.4580078125,67932.1875,260.6380392421643,0.9189637899398804,Red Neuronal,default
Low,GRU,160.96983337402344,46876.171875,216.50905725858215,0.9440814852714539,Red Neuronal,ajustada1
Low,GRU,89.80517578125,14822.095703125,121.74602951687993,0.9823187589645386,Red Neuronal,ajustada2
Low,BiLSTM,349.5076904296875,216456.75,465.2491268127217,0.7417889833450317,Red Neuronal,default
Low,BiLSTM,157.08001708984375,47449.296875,217.82859517290194,0.9433978199958801,Red Neuronal,ajustada1
Low,BiLSTM,31.398727416992188,1861.7939453125,43.14851034870729,0.9977790713310242,Red Neuronal,ajustada2
Low,CNN+LSTM,457.1414489746094,302461.25,549.9647715990543,0.6391943693161011,Red Neuronal,default
Low,CNN+LSTM,337.6962890625,170747.453125,413.2159884672906,0.7963155508041382,Red Neuronal,ajustada1
Low,CNN+LSTM,77.69082641601562,10030.3173828125,100.1514721949333,0.9880348443984985,Red Neuronal,ajustada2
Close,ANN,179.3296356201172,48545.1015625,220.32952948368043,0.9424042105674744,Red Neuronal,default
Close,ANN,306.23089599609375,148005.703125,384.7150934457862,0.8244003057479858,Red Neuronal,ajustada1
Close,ANN,229.1427459716797,80725.4765625,284.12229156210185,0.904224157333374,Red Neuronal,ajustada2
Close,SimpleRNN,592.3085327148438,544472.5625,737.8838407906762,0.35401660203933716,Red Neuronal,default
Close,SimpleRNN,385.2873840332031,234558.609375,484.3125120983351,0.7217105627059937,Red Neuronal,ajustada1
Close,SimpleRNN,220.44308471679688,80245.2421875,283.2759117671321,0.904793918132782,Red Neuronal,ajustada2
Close,LSTM,494.1968688964844,456917.4375,675.9566831535878,0.4578953981399536,Red Neuronal,default
Close,LSTM,390.3988342285156,262082.4375,511.93987684102126,0.6890552043914795,Red Neuronal,ajustada1
Close,LSTM,179.7267608642578,56161.453125,236.98407778793916,0.9333678483963013,Red Neuronal,ajustada2
Close,GRU,156.90887451171875,57983.91015625,240.79848453893973,0.9312056303024292,Red Neuronal,default
Close,GRU,407.3770446777344,281586.3125,530.6470696234928,0.6659150719642639,Red Neuronal,ajustada1
Close,GRU,110.6298828125,21905.171875,148.00395898421095,0.9740108251571655,Red Neuronal,ajustada2
Close,BiLSTM,156.4423828125,50641.125,225.0358304803926,0.9399173855781555,Red Neuronal,default
Close,BiLSTM,161.8395233154297,40700.6484375,201.7440171045972,0.9517111778259277,Red Neuronal,ajustada1
Close,BiLSTM,57.7170295715332,5801.79736328125,76.16953041263449,0.9931164979934692,Red Neuronal,ajustada2
Close,CNN+LSTM,292.3385009765625,126547.40625,355.7350225237881,0.8498592376708984,Red Neuronal,default
Close,CNN+LSTM,300.95281982421875,136151.5625,368.98721183802564,0.8384644985198975,Red Neuronal,ajustada1
Close,CNN+LSTM,144.028076171875,32534.939453125,180.37444235014283,0.961399257183075,Red Neuronal,ajustada2
